[23:14:57] [INFO] received Windows console close event; shutting log-core down
[23:26:36] [INFO] received Windows console close event; shutting log-core down
[23:28:54] [INFO] received Windows console close event; shutting log-core down
[00:15:26] [INFO] received Windows console close event; shutting log-core down
[23:18:11] [INFO] received Windows console close event; shutting log-core down
[23:22:20] [INFO] received Windows console close event; shutting log-core down
[15:01:38] [INFO] received Windows console close event; shutting log-core down
[15:02:47] [INFO] received Windows console close event; shutting log-core down
[15:03:57] [INFO] received Windows console close event; shutting log-core down
[15:19:09] [INFO] received Windows console close event; shutting log-core down
[20:15:32] [INFO] received Windows console close event; shutting log-core down
[20:20:39] [INFO] received Windows console close event; shutting log-core down
[20:28:45] [INFO] received Windows console close event; shutting log-core down
[00:44:32] [INFO] received Windows console close event; shutting log-core down
[00:46:48] [INFO] received Windows console close event; shutting log-core down
[00:48:24] [INFO] received Windows console close event; shutting log-core down
[14:05:15] [INFO] received Windows console close event; shutting log-core down
[14:09:13] [INFO] received Windows console close event; shutting log-core down
[14:12:20] [INFO] received Windows console close event; shutting log-core down
[18:54:51] [INFO] received Windows console close event; shutting log-core down
[18:55:42] [INFO] received Windows console close event; shutting log-core down
[19:01:33] [INFO] received Windows console close event; shutting log-core down
[19:11:28] [INFO] received Windows console close event; shutting log-core down
[14:50:30] [INFO] received Windows console close event; shutting log-core down
[23:34:58] [INFO] received Windows console close event; shutting log-core down
[23:41:26] [INFO] received Windows console close event; shutting log-core down
[23:44:12] [INFO] received Windows console close event; shutting log-core down
[23:49:38] [INFO] received Windows console close event; shutting log-core down
[23:50:43] [INFO] received Windows console close event; shutting log-core down
[02:02:39] [INFO] received Windows console close event; shutting log-core down
[19:17:06] [INFO] received Windows console close event; shutting log-core down
[15:11:46] [INFO] received Windows console close event; shutting log-core down
[15:21:13] [INFO] received Windows console close event; shutting log-core down
[15:27:39] [INFO] received Windows console close event; shutting log-core down
[15:30:05] [INFO] received Windows console close event; shutting log-core down
[15:31:15] [INFO] received Windows console close event; shutting log-core down
[18:20:46] [INFO] received Windows console close event; shutting log-core down
[18:26:30] [INFO] received Windows console close event; shutting log-core down
[19:25:23] [INFO] received Windows console close event; shutting log-core down
[19:27:42] [INFO] received Windows console close event; shutting log-core down
[19:33:40] [INFO] received Windows console close event; shutting log-core down
[19:36:47] [INFO] received Windows console close event; shutting log-core down
[19:40:37] [INFO] received Windows console close event; shutting log-core down
[19:41:55] [INFO] received Windows console close event; shutting log-core down
[15:16:14] [INFO] received Windows console close event; shutting log-core down
[15:20:20] [INFO] received Windows console close event; shutting log-core down
[15:26:38] [INFO] received Windows console close event; shutting log-core down
[15:30:37] [INFO] received Windows console close event; shutting log-core down
[15:32:42] [INFO] received Windows console close event; shutting log-core down
[15:33:42] [INFO] received Windows console close event; shutting log-core down
[23:22:04] [INFO] received Windows console close event; shutting log-core down
[23:22:46] [INFO] received Windows console close event; shutting log-core down
[23:25:48] [INFO] received Windows console close event; shutting log-core down
[23:26:42] [INFO] received Windows console close event; shutting log-core down
[23:27:38] [INFO] received Windows console close event; shutting log-core down
[21:58:28] [INFO] received Windows console close event; shutting log-core down
[22:04:21] [INFO] received Windows console close event; shutting log-core down
[22:04:57] [INFO] received Windows console close event; shutting log-core down
[22:07:06] [INFO] received Windows console close event; shutting log-core down
[22:08:38] [INFO] received Windows console close event; shutting log-core down
[22:09:43] [INFO] received Windows console close event; shutting log-core down
[22:10:29] [INFO] received Windows console close event; shutting log-core down
[22:11:43] [INFO] received Windows console close event; shutting log-core down
[22:13:30] [INFO] received Windows console close event; shutting log-core down
[22:15:59] [INFO] received Windows console close event; shutting log-core down
[00:48:47] [INFO] received Windows console close event; shutting log-core down
[00:49:59] [INFO] received Windows console close event; shutting log-core down
[02:51:38] [INFO] received Windows console close event; shutting log-core down
[01:02:31] [INFO] received Windows console close event; shutting log-core down
[18:10:34] [INFO] received Windows console close event; shutting log-core down
[18:23:15] [INFO] received Windows console close event; shutting log-core down
[18:25:39] [INFO] received Windows console close event; shutting log-core down
[18:30:18] [INFO] received Windows console close event; shutting log-core down
[18:44:45] [INFO] received Windows console close event; shutting log-core down
[18:53:29] [INFO] received Windows console close event; shutting log-core down
[18:55:30] [INFO] received Windows console close event; shutting log-core down
[19:02:38] [INFO] received Windows console close event; shutting log-core down
[19:08:23] [INFO] received Windows console close event; shutting log-core down
[19:11:03] [INFO] received Windows console close event; shutting log-core down
[19:13:16] [INFO] received Windows console close event; shutting log-core down
[19:52:41] [INFO] received Windows console close event; shutting log-core down
[19:56:16] [INFO] received Windows console close event; shutting log-core down
[19:58:59] [INFO] received Windows console close event; shutting log-core down
[20:16:43] [INFO] received Windows console close event; shutting log-core down
[20:20:38] [INFO] received Windows console close event; shutting log-core down
[20:23:15] [INFO] received Windows console close event; shutting log-core down
[21:28:53] [INFO] received Windows console close event; shutting log-core down
[21:33:24] [INFO] received Windows console close event; shutting log-core down
[21:37:03] [INFO] received Windows console close event; shutting log-core down
[00:11:22] [INFO] received Windows console close event; shutting log-core down
[01:39:04] [INFO] received Windows console close event; shutting log-core down
[01:41:01] [INFO] received Windows console close event; shutting log-core down
[01:41:01] [INFO] received Windows console close event; shutting log-core down
[01:41:49] [INFO] received Windows console close event; shutting log-core down
